1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	1	1	1	1	0	1	1	1	1	1	0	1
1	4	1	1	1	1	0	1	1	1	1	1	0	1
1	0	1	1	1	1	0	1	1	1	1	1	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	0	1	1	0	1	1	1	1
1	0	1	1	1	1	0	1	1	0	1	1	1	1
1	0	0	0	0	0	0	1	1	0	0	0	0	1
1	1	1	1	1	1	0	1	1	1	1	1	9	1
9	9	9	9	9	1	0	1	1	1	1	1	9	1
9	9	9	9	9	1	0	1	1	9	9	9	9	9
9	9	9	9	9	1	0	1	1	9	1	1	1	6
1	1	1	1	1	1	0	1	1	9	1	7	7	7
3	2	2	2	2	2	0	9	9	9	1	7	7	7
1	1	1	1	1	1	0	1	1	9	1	7	7	7
9	9	9	9	9	1	0	1	1	9	1	1	1	1
9	9	9	9	9	1	0	1	1	9	9	9	9	6
9	9	9	9	9	1	0	1	1	9	1	1	1	1
1	1	1	1	1	1	0	1	1	9	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	1	1	1	1	0	1	1	1	1	1	0	1
1	0	1	1	1	1	0	1	1	1	1	1	0	1
1	4	0	0	1	1	0	0	0	0	0	0	0	5
1	1	1	0	1	1	0	1	1	0	1	1	1	1
1	1	1	0	1	1	0	1	1	0	1	1	1	1
1	0	0	0	0	0	0	1	1	0	0	0	0	1
1	0	1	1	1	1	1	1	1	1	1	1	0	1
1	0	1	1	1	1	1	1	1	1	1	1	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1
